_id,Municipality,Tier,Region,Affordable purchase price of a detached house ($),Affordable purchase price of a semi-detached house ($),Affordable purchase price of a row/townhouse ($),Affordable purchase price of a condominium apartment ($),Purchase price based on income ($),Ninety per cent of average purchase price - detached ($),Ninety per cent of average purchase price - semi-detached ($),Ninety per cent of average purchase price - row/townhouse ($),Ninety per cent of average purchase price - condo apt ($),Average purchase price of a detached house ($),Average purchase price of a semi-detached house ($),Average purchase price of a row/townhouse ($),Average purchase price of a condominium apartment ($),Threshold applied for a detached house; and substitution ($),Threshold applied for a semi-detached; and substitution ($),Threshold applied for a row/townhouse; and substitution ($),Threshold applied for a condo apartment; and substitution ($),Affordable monthly rent of a bachelor unit ($),Affordable monthly rent of a 1-bedroom unit ($),Affordable monthly rent of a 2-bedroom unit ($),Affordable monthly rent of a 3+ bedroom unit ($),Rent based on income ($),Average market rent of a bachelor unit ($),Average market rent of a 1-bedroom unit ($),Average market rent of a 2-bedroom unit ($),Average market rent of a 3+ bedroom unit ($),Threshold applied for a bachelor unit; and substitution ($),Threshold applied for a 1-bedroom unit; and substitution ($),Threshold applied for a 2-bedroom unit; and substitution ($),Threshold applied for a 3+ bedroom unit; and substitution ($)
66,Central Manitoulin M,ST,Northeastern,"298,800","261,000","252,000","298,800","298,800","405,000","261,000","252,000","324,000","450,000","290,000","280,000","360,000",Income; Base,Price; Region,Price; Region,Income; Base,879,"1,173","1,430","1,643","1,770",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Rent; Region,Rent; Region
67,Centre Hastings M,LT,Eastern,"360,900","360,900","360,900","360,900","360,900","558,000","378,000","459,000","405,000","620,000","420,000","510,000","450,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,065","1,290","1,290","1,290","1,290","1,065","1,340","1,484","1,858",Rent; CD,Income; Base,Income; Base,Income; Base
68,Centre Wellington Tp,LT,Western,"461,800","461,800","461,800","461,800","461,800","909,000","630,000","666,000","621,000","1,010,000","700,000","740,000","690,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,317","1,298","1,562","1,637","2,020","1,317","1,298","1,562","1,637",Rent; CD,Rent; Base,Rent; Base,Rent; Base
69,Chamberlain Tp,ST,Northeastern,"297,000","261,000","243,000","324,000","341,500","297,000","261,000","243,000","324,000","330,000","290,000","270,000","360,000",Price; CD,Price; Region,Price; CD,Price; Region,879,"1,173","1,380","1,380","1,380",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Income; CD,Income; CD
70,Champlain Tp,LT,Eastern,"384,200","384,200","384,200","351,000","384,200","522,000","432,000","414,000","351,000","580,000","480,000","460,000","390,000",Income; Base,Income; Base,Income; Base,Price; CD,590,948,"1,463","1,660","1,660",590,948,"1,463","2,142",Rent; CD,Rent; CD,Rent; CD,Income; Base
71,Chapleau Tp,ST,Northeastern,"353,100","261,000","252,000","324,000","353,100","387,000","261,000","252,000","324,000","430,000","290,000","280,000","360,000",Income; Base,Price; Region,Price; Region,Price; Region,879,"1,173","1,430","1,643","1,750",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Rent; Region,Rent; Region
72,Chapple Tp,ST,Northwestern,"270,000","243,000","324,000","306,000","419,100","270,000","243,000","324,000","306,000","300,000","270,000","360,000","340,000",Price; CD,Price; Region,Price; Region,Price; Region,950,"1,163","1,479","1,660","1,660",950,"1,163","1,479","1,851",Rent; Region,Rent; Region,Rent; Region,Income; CD
73,Charlton-Dack M,ST,Northeastern,"297,000","261,000","243,000","324,000","454,000","297,000","261,000","243,000","324,000","330,000","290,000","270,000","360,000",Price; CD,Price; Region,Price; CD,Price; Region,879,"1,173","1,380","1,380","1,380",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Income; CD,Income; CD
74,Chatham-Kent M,ST,Western,"333,700","333,700","333,700","198,000","333,700","432,000","351,000","369,000","198,000","480,000","390,000","410,000","220,000",Income; Base,Income; Base,Income; Base,Price; Base,"1,198","1,203","1,387","1,180","1,580","1,198","1,203","1,387","1,180",Rent; Base,Rent; Base,Rent; Base,Rent; Base
75,Chatsworth Tp,LT,Western,"372,500","372,500","372,500","372,500","372,500","666,000","621,000","630,000","630,000","740,000","690,000","700,000","700,000",Income; Base,Income; Base,Income; Base,Income; Base,929,"1,101","1,243","1,350","1,440",929,"1,101","1,243","1,350",Rent; CD,Rent; CD,Rent; CD,Rent; CD
76,Chisholm Tp,ST,Northeastern,"345,300","333,000","306,000","333,000","345,300","531,000","333,000","306,000","333,000","590,000","370,000","340,000","370,000",Income; Base,Price; CD,Price; CD,Price; CD,807,"1,051","1,367","1,570","1,570",807,"1,051","1,367","1,682",Rent; CD,Rent; CD,Rent; CD,Income; CD
77,Clarence-Rockland C,LT,Eastern,"473,400","423,000","432,000","473,400","473,400","576,000","423,000","432,000","495,000","640,000","470,000","480,000","550,000",Income; Base,Price; Base,Price; Base,Income; Base,590,950,"1,494","2,030","2,030",590,950,"1,494","2,142",Rent; CD,Rent; Base,Rent; Base,Income; Base
78,Clarington M,LT,Central,"508,300","508,300","508,300","508,300","508,300","873,000","630,000","675,000","594,000","970,000","700,000","750,000","660,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,330","1,614","1,787","1,909","2,450","1,330","1,614","1,787","1,909",Rent; CD,Rent; Base,Rent; Base,Rent; CD
79,Clearview Tp,LT,Central,"442,400","442,400","442,400","442,400","442,400","1,008,000","639,000","567,000","567,000","1,120,000","710,000","630,000","630,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,003","1,475","1,651","1,833","2,120","1,003","1,475","1,651","1,833",Rent; CD,Rent; CD,Rent; CD,Rent; CD
80,Cobalt T,ST,Northeastern,"180,000","260,000","243,000","260,000","260,000","180,000","261,000","243,000","324,000","200,000","290,000","270,000","360,000",Price; Base,Income; Base,Price; CD,Income; Base,879,"1,173","1,280","1,280","1,280",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Income; Base,Income; Base
81,Cobourg T,LT,Eastern,"357,000","357,000","357,000","357,000","357,000","720,000","531,000","558,000","513,000","800,000","590,000","620,000","570,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,071","1,396","1,621","1,870","1,870","1,071","1,396","1,621","1,885",Rent; Base,Rent; Base,Rent; Base,Income; Base
82,Cochrane T,ST,Northeastern,"288,000","198,000","207,000","315,000","357,000","288,000","198,000","207,000","315,000","320,000","220,000","230,000","350,000",Price; Base,Price; CD,Price; CD,Price; CD,859,"1,185","1,299","1,410","1,560",859,"1,185","1,299","1,410",Rent; CD,Rent; CD,Rent; CD,Rent; CD
83,Cockburn Island Tp,ST,Northeastern,"300,700","261,000","252,000","300,700","300,700","396,000","261,000","252,000","324,000","440,000","290,000","280,000","360,000",Income; CD,Price; Region,Price; Region,Income; CD,879,"1,173","1,430","1,643","1,760",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Rent; Region,Rent; Region
84,Coleman Tp,ST,Northeastern,"297,000","261,000","243,000","324,000","442,400","297,000","261,000","243,000","324,000","330,000","290,000","270,000","360,000",Price; CD,Price; Region,Price; CD,Price; Region,879,"1,173","1,380","1,380","1,380",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Income; CD,Income; CD
85,Collingwood T,LT,Central,"384,200","384,200","384,200","384,200","384,200","981,000","684,000","684,000","603,000","1,090,000","760,000","760,000","670,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,003","1,418","1,634","1,833","1,840","1,003","1,418","1,634","1,833",Rent; CD,Rent; Base,Rent; Base,Rent; CD
86,Conmee Tp,ST,Northwestern,"360,000","243,000","333,000","306,000","492,800","360,000","243,000","333,000","306,000","400,000","270,000","370,000","340,000",Price; Base,Price; CD,Price; CD,Price; CD,976,"1,173","1,495","1,690","1,690",976,"1,173","1,495","1,864",Rent; CD,Rent; CD,Rent; CD,Income; CD
87,Cornwall C,ST,Eastern,"279,400","279,400","279,400","279,400","279,400","369,000","351,000","315,000","306,000","410,000","390,000","350,000","340,000",Income; Base,Income; Base,Income; Base,Income; Base,956,"1,081","1,288","1,413","1,510",956,"1,081","1,288","1,413",Rent; Base,Rent; Base,Rent; Base,Rent; Base
88,Cramahe Tp,LT,Eastern,"391,900","391,900","391,900","391,900","391,900","675,000","531,000","522,000","558,000","750,000","590,000","580,000","620,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,148","1,465","1,582","1,895","1,960","1,148","1,465","1,582","1,895",Rent; CD,Rent; CD,Rent; CD,Rent; CD
89,Dawn-Euphemia Tp,LT,Western,"360,900","360,000","342,000","360,900","360,900","513,000","360,000","342,000","405,000","570,000","400,000","380,000","450,000",Income; Base,Price; CD,Price; CD,Income; Base,988,"1,249","1,522","1,712","2,050",988,"1,249","1,522","1,712",Rent; CD,Rent; CD,Rent; CD,Rent; CD
90,Dawson Tp,ST,Northwestern,"270,000","243,000","324,000","306,000","376,400","270,000","243,000","324,000","306,000","300,000","270,000","360,000","340,000",Price; CD,Price; Region,Price; Region,Price; Region,950,"1,163","1,479","1,660","1,660",950,"1,163","1,479","1,851",Rent; Region,Rent; Region,Rent; Region,Income; CD
91,Deep River T,LT,Eastern,"369,000","234,000","387,000","279,000","430,700","369,000","234,000","387,000","279,000","410,000","260,000","430,000","310,000",Price; Base,Price; Base,Price; CD,Price; CD,"1,281","1,140","1,312","1,592","2,080","1,281","1,140","1,312","1,592",Rent; Region,Rent; CD,Rent; CD,Rent; CD
92,Deseronto T,LT,Eastern,"285,200","285,200","285,200","285,200","285,200","333,000","378,000","459,000","405,000","370,000","420,000","510,000","450,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,065","1,140","1,140","1,140","1,140","1,065","1,340","1,484","1,858",Rent; CD,Income; Base,Income; Base,Income; Base
93,Dorion Tp,ST,Northwestern,"351,000","243,000","333,000","306,000","434,600","351,000","243,000","333,000","306,000","390,000","270,000","370,000","340,000",Price; CD,Price; CD,Price; CD,Price; CD,976,"1,173","1,495","1,690","1,690",976,"1,173","1,495","1,864",Rent; CD,Rent; CD,Rent; CD,Income; CD
94,Douro-Dummer Tp,LT,Eastern,"442,400","442,400","442,400","442,400","442,400","819,000","486,000","531,000","558,000","910,000","540,000","590,000","620,000",Income; Base,Income; Base,Income; Base,Income; Base,990,"1,245","1,518","1,730","2,230",990,"1,245","1,518","1,730",Rent; CD,Rent; CD,Rent; CD,Rent; CD
95,Drummond-North Elmsley Tp,LT,Eastern,"430,700","430,700","430,700","387,000","430,700","639,000","459,000","522,000","387,000","710,000","510,000","580,000","430,000",Income; Base,Income; Base,Income; Base,Price; CD,"1,281","1,519","1,940","1,940","1,940","1,281","1,519","2,361","2,142",Rent; Region,Rent; CD,Income; Base,Income; Base
96,Dryden C,ST,Northwestern,"297,000","243,000","351,000","306,000","395,800","297,000","243,000","351,000","306,000","330,000","270,000","390,000","340,000",Price; Base,Price; Region,Price; CD,Price; Region,950,"1,005","1,479","1,660","1,660",950,"1,005","1,479","1,851",Rent; Region,Rent; CD,Rent; Region,Income; Base
97,Dubreuilville Tp,ST,Northeastern,"342,000","207,000","234,000","306,000","384,200","342,000","207,000","234,000","306,000","380,000","230,000","260,000","340,000",Price; CD,Price; CD,Price; CD,Price; CD,918,"1,109","1,249","1,329","1,460",918,"1,109","1,249","1,329",Rent; CD,Rent; CD,Rent; CD,Rent; CD
98,Dutton-Dunwich M,LT,Western,"411,300","411,300","411,300","411,300","411,300","567,000","450,000","513,000","513,000","630,000","500,000","570,000","570,000",Income; Base,Income; Base,Income; Base,Income; Base,959,"1,187","1,599","1,640","1,640",959,"1,187","1,599","2,241",Rent; CD,Rent; CD,Rent; CD,Income; Base
99,Dysart et al Tp,LT,Eastern,"349,200","349,200","349,200","349,200","349,200","837,000","414,000","477,000","513,000","930,000","460,000","530,000","570,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,281","1,533","1,580","1,580","1,580","1,281","1,533","1,762","2,142",Rent; Region,Rent; Region,Income; Base,Income; Base
100,Ear Falls Tp,ST,Northwestern,"396,000","243,000","351,000","306,000","426,800","396,000","243,000","351,000","306,000","440,000","270,000","390,000","340,000",Price; CD,Price; Region,Price; CD,Price; Region,950,"1,005","1,479","1,851","2,090",950,"1,005","1,479","1,851",Rent; Region,Rent; CD,Rent; Region,Rent; Region
101,East Ferris M,ST,Northeastern,"492,800","333,000","306,000","333,000","492,800","576,000","333,000","306,000","333,000","640,000","370,000","340,000","370,000",Income; Base,Price; CD,Price; CD,Price; CD,807,"1,051","1,367","1,560","1,560",807,"1,051","1,367","1,682",Rent; CD,Rent; CD,Rent; CD,Income; Base
102,East Garafraxa Tp,LT,Western,"651,900","594,000","639,000","558,000","651,900","1,476,000","594,000","639,000","558,000","1,640,000","660,000","710,000","620,000",Income; Base,Price; CD,Price; CD,Price; CD,"1,350","1,463","1,714","1,714","2,120","1,350","1,463","1,714","1,714",Rent; CD,Rent; CD,Rent; CD,Rent; CD
103,East Gwillimbury T,LT,Central,"539,400","539,400","539,400","539,400","539,400","1,251,000","936,000","837,000","639,000","1,390,000","1,040,000","930,000","710,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,297","1,783","2,024","2,658","2,810","1,297","1,783","2,024","2,658",Rent; CD,Rent; CD,Rent; CD,Rent; CD
104,East Hawkesbury Tp,LT,Eastern,"388,000","388,000","388,000","351,000","388,000","450,000","432,000","414,000","351,000","500,000","480,000","460,000","390,000",Income; Base,Income; Base,Income; Base,Price; CD,590,948,"1,463","1,810","1,810",590,948,"1,463","2,142",Rent; CD,Rent; CD,Rent; CD,Income; Base
105,East Zorra - Tavistock Tp,LT,Western,"450,100","450,100","450,100","450,100","450,100","765,000","495,000","477,000","576,000","850,000","550,000","530,000","640,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,026","1,350","1,572","1,926","1,960","1,026","1,350","1,572","1,926",Rent; CD,Rent; CD,Rent; CD,Rent; CD
106,Edwardsburgh-Cardinal Tp,LT,Eastern,"395,800","387,000","387,000","395,800","395,800","468,000","387,000","387,000","405,000","520,000","430,000","430,000","450,000",Income; Base,Price; CD,Price; CD,Income; Base,976,"1,175","1,322","1,247","1,530",976,"1,175","1,322","1,247",Rent; CD,Rent; CD,Rent; CD,Rent; CD
107,Elizabethtown-Kitley Tp,LT,Eastern,"411,300","387,000","387,000","405,000","411,300","504,000","387,000","387,000","405,000","560,000","430,000","430,000","450,000",Income; Base,Price; CD,Price; CD,Price; CD,976,"1,175","1,322","1,247","2,150",976,"1,175","1,322","1,247",Rent; CD,Rent; CD,Rent; CD,Rent; CD
108,Elliot Lake C,ST,Northeastern,"226,600","171,000","153,000","226,600","226,600","252,000","171,000","153,000","306,000","280,000","190,000","170,000","340,000",Income; Base,Price; Base,Price; Base,Income; Base,769,789,866,"1,043","1,350",769,789,866,"1,043",Rent; Base,Rent; Base,Rent; Base,Rent; Base
109,Emo Tp,ST,Northwestern,"270,000","243,000","324,000","306,000","473,400","270,000","243,000","324,000","306,000","300,000","270,000","360,000","340,000",Price; CD,Price; Region,Price; Region,Price; Region,950,"1,163","1,479","1,770","1,770",950,"1,163","1,479","1,851",Rent; Region,Rent; Region,Rent; Region,Income; Base
110,Englehart T,ST,Northeastern,"243,000","261,000","243,000","318,200","318,200","243,000","261,000","243,000","324,000","270,000","290,000","270,000","360,000",Price; Base,Price; Region,Price; CD,Income; Base,879,890,890,890,890,879,"1,173","1,430","1,643",Rent; Region,Income; Base,Income; Base,Income; Base
111,Enniskillen Tp,LT,Western,"481,200","360,000","342,000","405,000","481,200","567,000","360,000","342,000","405,000","630,000","400,000","380,000","450,000",Income; Base,Price; CD,Price; CD,Price; CD,988,"1,249","1,390","1,390","1,390",988,"1,249","1,522","1,712",Rent; CD,Rent; CD,Income; Base,Income; Base
112,Erin T,LT,Western,"585,900","585,900","585,900","585,000","585,900","1,242,000","639,000","657,000","585,000","1,380,000","710,000","730,000","650,000",Income; Base,Income; Base,Income; Base,Price; CD,"1,317","1,602","1,781","2,045","2,260","1,317","1,602","1,781","2,045",Rent; CD,Rent; CD,Rent; CD,Rent; CD
113,Espanola T,ST,Northeastern,"306,000","261,000","252,000","324,000","364,700","306,000","261,000","252,000","324,000","340,000","290,000","280,000","360,000",Price; Base,Price; Region,Price; Region,Price; Region,879,"1,173","1,430","1,643","1,650",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Rent; Region,Rent; Region
114,Essa Tp,LT,Central,"477,300","477,300","477,300","477,300","477,300","864,000","558,000","576,000","567,000","960,000","620,000","640,000","630,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,003","1,475","1,651","1,833","2,960","1,003","1,475","1,651","1,833",Rent; CD,Rent; CD,Rent; CD,Rent; CD
115,Essex T,LT,Western,"407,400","407,400","407,400","378,000","407,400","576,000","504,000","513,000","378,000","640,000","560,000","570,000","420,000",Income; Base,Income; Base,Income; Base,Price; Base,942,"1,192","1,640","1,640","1,640",942,"1,192","1,838","1,744",Rent; CD,Rent; CD,Income; Base,Income; Base
116,Evanturel Tp,ST,Northeastern,"297,000","261,000","243,000","324,000","570,400","297,000","261,000","243,000","324,000","330,000","290,000","270,000","360,000",Price; CD,Price; Region,Price; CD,Price; Region,879,"1,173","1,380","1,380","1,380",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Income; CD,Income; CD
117,Faraday Tp,LT,Eastern,"298,800","298,800","298,800","298,800","298,800","603,000","378,000","459,000","405,000","670,000","420,000","510,000","450,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,065","1,340","1,484","1,710","1,710","1,065","1,340","1,484","1,858",Rent; CD,Rent; CD,Rent; CD,Income; CD
118,Fauquier-Strickland Tp,ST,Northeastern,"279,000","198,000","207,000","281,300","281,300","279,000","198,000","207,000","315,000","310,000","220,000","230,000","350,000",Price; CD,Price; CD,Price; CD,Income; Base,859,"1,185","1,299","1,410","1,620",859,"1,185","1,299","1,410",Rent; CD,Rent; CD,Rent; CD,Rent; CD
119,Fort Erie T,LT,Central,"349,200","349,200","349,200","349,200","349,200","621,000","531,000","567,000","486,000","690,000","590,000","630,000","540,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,183","1,191","1,015","1,643","1,680","1,183","1,191","1,015","1,643",Rent; CD,Rent; Base,Rent; Base,Rent; CD
120,Fort Frances T,ST,Northwestern,"270,000","243,000","324,000","306,000","360,900","270,000","243,000","324,000","306,000","300,000","270,000","360,000","340,000",Price; Base,Price; Region,Price; Region,Price; Region,950,"1,163","1,479","1,620","1,620",950,"1,163","1,479","1,851",Rent; Region,Rent; Region,Rent; Region,Income; Base
121,French River M,ST,Northeastern,"325,900","261,000","252,000","324,000","325,900","387,000","261,000","252,000","324,000","430,000","290,000","280,000","360,000",Income; Base,Price; Region,Price; Region,Price; Region,879,"1,173","1,330","1,330","1,330",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Income; Base,Income; Base
122,Front of Yonge Tp,LT,Eastern,"360,900","360,900","360,900","360,900","360,900","468,000","387,000","387,000","405,000","520,000","430,000","430,000","450,000",Income; Base,Income; Base,Income; Base,Income; Base,976,"1,175","1,322","1,247","1,680",976,"1,175","1,322","1,247",Rent; CD,Rent; CD,Rent; CD,Rent; CD
123,Frontenac Islands Tp,LT,Eastern,"403,600","403,600","403,600","403,600","403,600","846,000","459,000","513,000","432,000","940,000","510,000","570,000","480,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,202","1,505","1,767","1,870","1,870","1,202","1,505","1,767","2,710",Rent; CD,Rent; CD,Rent; CD,Income; CD
124,Gananoque ST,ST,Eastern,"306,500","306,500","306,500","306,500","306,500","477,000","387,000","459,000","477,000","530,000","430,000","510,000","530,000",Income; Base,Income; Base,Income; Base,Income; Base,976,"1,175","1,322","1,247","1,640",976,"1,175","1,322","1,247",Rent; CD,Rent; CD,Rent; CD,Rent; CD
125,Gauthier Tp,ST,Northeastern,"297,000","261,000","243,000","324,000","341,500","297,000","261,000","243,000","324,000","330,000","290,000","270,000","360,000",Price; CD,Price; Region,Price; CD,Price; Region,879,"1,173","1,380","1,380","1,380",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Income; CD,Income; CD
126,Georgian Bay Tp,LT,Central,"368,600","368,600","368,600","368,600","368,600","1,152,000","522,000","648,000","981,000","1,280,000","580,000","720,000","1,090,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,012","1,347","1,560","1,940","1,940","1,012","1,347","1,560","2,418",Rent; CD,Rent; CD,Rent; CD,Income; Base
127,Georgian Bluffs Tp,LT,Western,"434,600","434,600","434,600","434,600","434,600","774,000","621,000","630,000","666,000","860,000","690,000","700,000","740,000",Income; Base,Income; Base,Income; Base,Income; Base,929,"1,101","1,243","1,350","1,940",929,"1,101","1,243","1,350",Rent; CD,Rent; CD,Rent; CD,Rent; CD
128,Georgina T,LT,Central,"450,100","450,100","450,100","450,100","450,100","837,000","729,000","657,000","504,000","930,000","810,000","730,000","560,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,297","1,783","2,024","2,060","2,060","1,297","1,783","2,024","2,658",Rent; CD,Rent; CD,Rent; CD,Income; Base
129,Gillies Tp,ST,Northwestern,"351,000","243,000","333,000","306,000","415,200","351,000","243,000","333,000","306,000","390,000","270,000","370,000","340,000",Price; CD,Price; CD,Price; CD,Price; CD,976,"1,173","1,495","1,690","1,690",976,"1,173","1,495","1,864",Rent; CD,Rent; CD,Rent; CD,Income; CD
130,Goderich T,LT,Western,"325,900","325,900","325,900","325,900","325,900","513,000","450,000","459,000","495,000","570,000","500,000","510,000","550,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,082","1,205","1,500","1,500","1,500","1,082","1,205","1,804","1,744",Rent; Region,Rent; CD,Income; Base,Income; Base
131,Gordon-Barrie Island M,ST,Northeastern,"310,400","261,000","252,000","310,400","310,400","396,000","261,000","252,000","324,000","440,000","290,000","280,000","360,000",Income; Base,Price; Region,Price; Region,Income; Base,879,"1,173","1,430","1,643","1,760",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Rent; Region,Rent; Region
132,Gore Bay T,ST,Northeastern,"318,200","261,000","252,000","318,200","318,200","396,000","261,000","252,000","324,000","440,000","290,000","280,000","360,000",Income; Base,Price; Region,Price; Region,Income; Base,879,"1,173","1,430","1,590","1,590",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Rent; Region,Income; Base
133,Grand Valley T,LT,Western,"461,800","461,800","461,800","461,800","461,800","792,000","594,000","639,000","558,000","880,000","660,000","710,000","620,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,350","1,463","1,714","1,714","2,330","1,350","1,463","1,714","1,714",Rent; CD,Rent; CD,Rent; CD,Rent; CD
134,Gravenhurst T,LT,Central,"349,200","349,200","349,200","349,200","349,200","945,000","522,000","873,000","846,000","1,050,000","580,000","970,000","940,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,012","1,250","1,557","1,650","1,650","1,012","1,250","1,557","2,386",Rent; CD,Rent; Base,Rent; Base,Income; Base
135,Greater Madawaska Tp,LT,Eastern,"372,500","369,000","372,500","279,000","372,500","603,000","369,000","387,000","279,000","670,000","410,000","430,000","310,000",Income; Base,Price; CD,Income; Base,Price; CD,"1,281","1,140","1,312","1,592","1,930","1,281","1,140","1,312","1,592",Rent; Region,Rent; CD,Rent; CD,Rent; CD
136,Greater Napanee T,LT,Eastern,"360,900","360,900","360,900","360,900","360,900","558,000","450,000","378,000","369,000","620,000","500,000","420,000","410,000",Income; Base,Income; Base,Income; Base,Income; Base,955,"1,066","1,244","1,640","1,640",955,"1,066","1,244","2,142",Rent; Base,Rent; Base,Rent; Base,Income; Base
137,Greater Sudbury C,ST,Northeastern,"395,800","333,000","395,800","387,000","395,800","468,000","333,000","396,000","387,000","520,000","370,000","440,000","430,000",Income; Base,Price; Base,Income; Base,Price; Base,904,"1,244","1,558","1,810","1,810",904,"1,244","1,558","1,816",Rent; Base,Rent; Base,Rent; Base,Income; Base
138,Greenstone M,ST,Northwestern,"189,000","243,000","333,000","306,000","364,700","189,000","243,000","333,000","306,000","210,000","270,000","370,000","340,000",Price; Base,Price; CD,Price; CD,Price; CD,976,"1,173","1,495","1,510","1,510",976,"1,173","1,495","1,864",Rent; CD,Rent; CD,Rent; CD,Income; Base
139,Grey Highlands M,LT,Western,"388,000","388,000","388,000","388,000","388,000","837,000","621,000","630,000","630,000","930,000","690,000","700,000","700,000",Income; Base,Income; Base,Income; Base,Income; Base,929,"1,101","1,243","1,350","1,730",929,"1,101","1,243","1,350",Rent; CD,Rent; CD,Rent; CD,Rent; CD
140,Grimsby T,LT,Central,"477,300","477,300","477,300","477,300","477,300","963,000","621,000","666,000","504,000","1,070,000","690,000","740,000","560,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,183","1,313","1,527","1,643","2,350","1,183","1,313","1,527","1,643",Rent; CD,Rent; CD,Rent; CD,Rent; CD
141,Guelph C,ST,Western,"430,700","430,700","430,700","430,700","430,700","864,000","675,000","630,000","522,000","960,000","750,000","700,000","580,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,332","1,627","1,802","2,091","2,140","1,332","1,627","1,802","2,091",Rent; Base,Rent; Base,Rent; Base,Rent; Base
142,Guelph-Eramosa Tp,LT,Western,"585,900","585,900","585,900","585,900","585,900","1,179,000","639,000","792,000","864,000","1,310,000","710,000","880,000","960,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,317","1,602","1,781","2,045","2,450","1,317","1,602","1,781","2,045",Rent; CD,Rent; CD,Rent; CD,Rent; CD
143,Haldimand County,ST,Western,"423,000","423,000","423,000","423,000","423,000","684,000","558,000","549,000","549,000","760,000","620,000","610,000","610,000",Income; Base,Income; Base,Income; Base,Income; Base,667,"1,132","1,146","1,730","1,730",667,"1,132","1,146","1,744",Rent; CD,Rent; Base,Rent; Base,Income; Base
144,Halton Hills T,LT,Central,"578,200","578,200","578,200","578,200","578,200","1,215,000","756,000","693,000","720,000","1,350,000","840,000","770,000","800,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,460","1,214","1,531","2,260","2,260","1,460","1,214","1,531","2,407",Rent; CD,Rent; Base,Rent; Base,Income; Base
145,Hamilton C,ST,Central,"399,700","399,700","399,700","399,700","399,700","873,000","648,000","639,000","468,000","970,000","720,000","710,000","520,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,052","1,343","1,527","1,692","1,890","1,052","1,343","1,527","1,692",Rent; Base,Rent; Base,Rent; Base,Rent; Base
146,Hamilton Tp,LT,Eastern,"485,000","485,000","485,000","485,000","485,000","828,000","531,000","522,000","558,000","920,000","590,000","580,000","620,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,148","1,465","1,582","1,895","2,150","1,148","1,465","1,582","1,895",Rent; CD,Rent; CD,Rent; CD,Rent; CD
147,Hanover T,LT,Western,"318,200","318,200","318,200","318,200","318,200","531,000","621,000","630,000","630,000","590,000","690,000","700,000","700,000",Income; Base,Income; Base,Income; Base,Income; Base,929,"1,101","1,243","1,350","1,500",929,"1,101","1,243","1,350",Rent; CD,Rent; CD,Rent; CD,Rent; CD
148,Harley Tp,ST,Northeastern,"297,000","261,000","243,000","324,000","469,500","297,000","261,000","243,000","324,000","330,000","290,000","270,000","360,000",Price; CD,Price; Region,Price; CD,Price; Region,879,"1,173","1,380","1,380","1,380",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Income; CD,Income; CD
149,Harris Tp,ST,Northeastern,"297,000","261,000","243,000","324,000","465,600","297,000","261,000","243,000","324,000","330,000","290,000","270,000","360,000",Price; CD,Price; Region,Price; CD,Price; Region,879,"1,173","1,380","1,380","1,380",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Income; CD,Income; CD
