_id,Municipality,Tier,Region,Affordable purchase price of a detached house ($),Affordable purchase price of a semi-detached house ($),Affordable purchase price of a row/townhouse ($),Affordable purchase price of a condominium apartment ($),Purchase price based on income ($),Ninety per cent of average purchase price - detached ($),Ninety per cent of average purchase price - semi-detached ($),Ninety per cent of average purchase price - row/townhouse ($),Ninety per cent of average purchase price - condo apt ($),Average purchase price of a detached house ($),Average purchase price of a semi-detached house ($),Average purchase price of a row/townhouse ($),Average purchase price of a condominium apartment ($),Threshold applied for a detached house; and substitution ($),Threshold applied for a semi-detached; and substitution ($),Threshold applied for a row/townhouse; and substitution ($),Threshold applied for a condo apartment; and substitution ($),Affordable monthly rent of a bachelor unit ($),Affordable monthly rent of a 1-bedroom unit ($),Affordable monthly rent of a 2-bedroom unit ($),Affordable monthly rent of a 3+ bedroom unit ($),Rent based on income ($),Average market rent of a bachelor unit ($),Average market rent of a 1-bedroom unit ($),Average market rent of a 2-bedroom unit ($),Average market rent of a 3+ bedroom unit ($),Threshold applied for a bachelor unit; and substitution ($),Threshold applied for a 1-bedroom unit; and substitution ($),Threshold applied for a 2-bedroom unit; and substitution ($),Threshold applied for a 3+ bedroom unit; and substitution ($)
21,Augusta Tp,LT,Eastern,"426,800","387,000","387,000","405,000","426,800","495,000","387,000","387,000","405,000","550,000","430,000","430,000","450,000",Income; Base,Price; CD,Price; CD,Price; CD,976,"1,175","1,322","1,247","2,240",976,"1,175","1,322","1,247",Rent; CD,Rent; CD,Rent; CD,Rent; CD
22,Aurora T,LT,Central,"547,100","547,100","547,100","547,100","547,100","1,521,000","927,000","900,000","675,000","1,690,000","1,030,000","1,000,000","750,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,297","1,853","2,187","2,600","2,600","1,297","1,853","2,187","2,960",Rent; CD,Rent; Base,Rent; Base,Income; Base
23,Aylmer T,LT,Western,"329,800","329,800","329,800","329,800","329,800","531,000","450,000","513,000","513,000","590,000","500,000","570,000","570,000",Income; Base,Income; Base,Income; Base,Income; Base,959,"1,187","1,580","1,580","1,580",959,"1,187","1,599","2,241",Rent; CD,Rent; CD,Income; Base,Income; Base
24,Baldwin Tp,ST,Northeastern,"384,200","261,000","252,000","324,000","384,200","387,000","261,000","252,000","324,000","430,000","290,000","280,000","360,000",Income; Base,Price; Region,Price; Region,Price; Region,879,"1,173","1,430","1,620","1,620",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Rent; Region,Income; CD
25,Bancroft T,LT,Eastern,"277,400","277,400","277,400","277,400","277,400","495,000","378,000","459,000","405,000","550,000","420,000","510,000","450,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,065","1,230","1,230","1,230","1,230","1,065","1,340","1,484","1,858",Rent; CD,Income; Base,Income; Base,Income; Base
26,Barrie C,ST,Central,"423,000","423,000","423,000","423,000","423,000","783,000","585,000","558,000","513,000","870,000","650,000","620,000","570,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,111","1,586","1,755","1,987","2,210","1,111","1,586","1,755","1,987",Rent; Base,Rent; Base,Rent; Base,Rent; Base
27,Bayham M,LT,Western,"384,200","384,200","384,200","384,200","384,200","648,000","450,000","513,000","513,000","720,000","500,000","570,000","570,000",Income; Base,Income; Base,Income; Base,Income; Base,959,"1,187","1,599","1,940","1,940",959,"1,187","1,599","2,241",Rent; CD,Rent; CD,Rent; CD,Income; Base
28,Beckwith Tp,LT,Eastern,"554,900","459,000","540,000","387,000","554,900","720,000","459,000","540,000","387,000","800,000","510,000","600,000","430,000",Income; Base,Price; CD,Price; Base,Price; CD,"1,281","1,519","2,361","2,142","2,660","1,281","1,519","2,361","2,142",Rent; Region,Rent; CD,Rent; CD,Rent; Region
29,Belleville C,ST,Eastern,"341,500","341,500","341,500","341,500","341,500","522,000","396,000","459,000","369,000","580,000","440,000","510,000","410,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,081","1,328","1,513","1,680","1,680","1,081","1,328","1,513","1,877",Rent; Base,Rent; Base,Rent; Base,Income; Base
30,Billings Tp,ST,Northeastern,"364,700","261,000","252,000","324,000","364,700","396,000","261,000","252,000","324,000","440,000","290,000","280,000","360,000",Income; Base,Price; Region,Price; Region,Price; Region,879,"1,173","1,430","1,643","1,760",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Rent; Region,Rent; Region
31,Black River - Matheson Tp,ST,Northeastern,"279,000","198,000","207,000","315,000","376,400","279,000","198,000","207,000","315,000","310,000","220,000","230,000","350,000",Price; CD,Price; CD,Price; CD,Price; CD,859,"1,185","1,299","1,410","1,750",859,"1,185","1,299","1,410",Rent; CD,Rent; CD,Rent; CD,Rent; CD
32,Blandford - Blenheim Tp,LT,Western,"488,900","488,900","477,000","488,900","488,900","837,000","495,000","477,000","576,000","930,000","550,000","530,000","640,000",Income; Base,Income; Base,Price; CD,Income; Base,"1,026","1,350","1,572","1,926","2,180","1,026","1,350","1,572","1,926",Rent; CD,Rent; CD,Rent; CD,Rent; CD
33,Blind River T,ST,Northeastern,"298,800","207,000","234,000","298,800","298,800","324,000","207,000","234,000","306,000","360,000","230,000","260,000","340,000",Income; Base,Price; CD,Price; CD,Income; Base,918,"1,109","1,249","1,280","1,280",918,"1,109","1,249","1,329",Rent; CD,Rent; CD,Rent; CD,Income; Base
